categoria edifici,pertinenza edificio,parte di edificio,latitudine,longitudine,media,nome,Stato
via colonnata,Palmira,capitello,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/2/20/Palmira._Via_colonnata_tra_T._di_bel_e_Arco_-_DecArch_-_1-31.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,cornice,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/3/3a/Palmira._Via_colonnata_tra_T._di_bel_e_Arco%2C_part_di_X_2_-_DecArch_-_1-25.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,cornice,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/a/a4/Palmira._Via_colonnata_tra_T._di_bel_e_Arco%2C_parto_di_W_37_-_DecArch_-_1-28.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,cornice,34.54876,38.27127,https://upload.wikimedia.org/wikipedia/commons/1/16/Palmira._Via_colonnata_tra_T._di_bel_e_Arco%2C_X_2_-_DecArch_-_1-26.jpg,Via Colonnata di Palmira (tra arco e tempio di Bel),Siria
via colonnata,Palmira,trabeazione,34.55478,38.26254,https://upload.wikimedia.org/wikipedia/commons/4/45/Palmira._Via_colonnata_tra_T._funerario_e_campo_di_Diocleziano_-_DecArch_-_1-136.jpg,Via Colonnata di Palmira (vicino tempio funerario),Siria
via colonnata,Palmira,capitello,34.55238,38.26075,https://upload.wikimedia.org/wikipedia/commons/1/14/Palmira._Via_colonnata_tra_T._funerario_e_campo_di_Diocleziano_-_DecArch_-_1-137.jpg,Via Colonnata di Palmira (vicino campo di Diocleaziano),Siria
via colonnata,Palmira,"base di colonna, colonna, capitello, mensola",34.55238,38.26075,https://upload.wikimedia.org/wikipedia/commons/5/5f/Palmira._Via_colonnata_tra_T._funerario_e_campo_di_Diocleziano_-_DecArch_-_1-140.jpg,Via Colonnata di Palmira (vicino campo di Diocleaziano),Siria
via colonnata,Palmira,"colonna, capitello, base di colonna, trabeazione",34.55238,38.26075,https://upload.wikimedia.org/wikipedia/commons/2/26/Palmira._Via_colonnata_tra_T._funerario_e_campo_di_Diocleziano_-_DecArch_-_1-139.jpg,Via Colonnata di Palmira (vicino campo di Diocleaziano),Siria
via colonnata,Palmira,capitello,34.55238,38.26075,https://upload.wikimedia.org/wikipedia/commons/4/4b/Palmira._Via_colonnata_tra_T._funerario_e_campo_di_Diocleziano_-_DecArch_-_1-138.jpg,Via Colonnata di Palmira (vicino campo di Diocleaziano),Siria
via colonnata,Palmira,base di colonna,34.55478,38.26254,https://upload.wikimedia.org/wikipedia/commons/4/43/Palmira._Via_colonnata_verso_T.funerario%2C_occupazione_strada_-_DecArch_-_1-93.jpg,Via Colonnata di Palmira (vicino tempio funerario),Siria
